Time	Channel A  550ms
(ms)	(V)

83.28500000	0.13246250
83.28702000	0.12269560
83.28902000	0.13734590
83.29105000	0.13246250
83.29306000	0.15199610
83.29507000	0.13734590
83.29709000	0.13734590
83.29911000	0.15199610
83.30112000	0.13246250
83.30314000	0.12757900
83.30516000	0.12269560
83.30717000	0.13246250
83.30919000	0.12269560
83.31121000	0.14711270
83.31322000	0.12269560
83.31524000	0.12757900
83.31725000	0.10316200
83.31927000	0.12757900
83.32128000	0.10804540
83.32330000	0.13246250
83.32532000	0.12269560
83.32733000	0.12269560
83.32935000	0.11292880
83.33136000	0.12757900
83.33338000	0.11781220
83.33540000	0.12269560
83.33741000	0.11292880
83.33943000	0.13246250
83.34144000	0.14222930
83.34346000	0.12757900
83.34547000	0.12269560
83.34749000	0.11781220
83.34951000	0.13734590
83.35152000	0.12757900
83.35354000	0.12269560
83.35555000	0.11292880
83.35757000	0.11781220
83.35959000	0.11781220
83.36160000	0.12757900
83.36362000	0.12269560
83.36563000	0.11781220
83.36765000	0.10804540
83.36967000	0.11781220
83.37168000	0.14711270
83.37370000	0.12757900
83.37572000	0.11781220
83.37773000	0.12269560
83.37975000	0.11292880
83.38177000	0.11292880
83.38378000	0.11292880
83.38580000	0.09827860
83.38782000	0.11292880
83.38982000	0.12269560
83.39185000	0.10316200
83.39386000	0.11292880
83.39587000	0.12269560
83.39790000	0.11781220
83.39991000	0.13246250
83.40192000	0.12269560
83.40394000	0.13734590
83.40596000	0.10316200
83.40797000	0.12269560
83.40999000	0.10804540
83.41201000	0.11781220
83.41402000	0.11292880
83.41604000	0.12269560
83.41805000	0.14222930
83.42007000	0.12757900
83.42209000	0.11781220
83.42410000	0.12269560
83.42612000	0.12269560
83.42813000	0.11781220
83.43015000	0.12757900
83.43217000	0.12269560
83.43418000	0.15687950
83.43620000	0.16176290
83.43821000	0.14711270
83.44023000	0.13734590
83.44224000	0.13734590
83.44426000	0.13734590
83.44628000	0.13246250
83.44829000	0.13734590
83.45031000	0.13734590
83.45232000	0.10316200
83.45434000	0.11781220
83.45635000	0.13734590
83.45837000	0.14222930
83.46039000	0.12757900
83.46240000	0.14222930
83.46442000	0.13734590
83.46643000	0.13734590
83.46845000	0.13734590
83.47047000	0.14711270
83.47248000	0.12269560
83.47450000	0.12269560
83.47652000	0.12269560
83.47853000	0.13734590
83.48055000	0.15199610
83.48257000	0.12757900
83.48458000	0.12269560
83.48660000	0.13734590
83.48862000	0.13246250
83.49062000	0.12757900
83.49265000	0.14711270
83.49466000	0.13734590
83.49667000	0.13734590
83.49870000	0.11781220
83.50070000	0.12757900
83.50272000	0.13246250
83.50474000	0.10804540
83.50675000	0.11781220
83.50877000	0.10804540
83.51079000	0.11781220
83.51280000	0.09827860
83.51482000	0.09339519
83.51684000	0.12269560
83.51885000	0.10316200
83.52087000	0.12757900
83.52289000	0.10804540
83.52489000	0.09827860
83.52692000	0.10804540
83.52893000	0.10804540
83.53094000	0.10804540
83.53297000	0.11781220
83.53498000	0.12757900
83.53699000	0.12269560
83.53901000	0.12269560
83.54103000	0.11781220
83.54305000	0.10804540
83.54506000	0.11292880
83.54708000	0.11781220
83.54909000	0.12269560
83.55111000	0.11292880
83.55312000	0.12269560
83.55514000	0.11781220
83.55716000	0.11292880
83.55917000	0.11292880
83.56119000	0.11292880
83.56320000	0.13734590
83.56522000	0.10316200
83.56724000	0.13734590
83.56925000	0.12269560
83.57127000	0.10804540
83.57328000	0.12269560
83.57530000	0.12269560
83.57732000	0.08851178
83.57933000	0.11781220
83.58135000	0.13246250
83.58336000	0.11292880
83.58538000	0.11781220
83.58739000	0.13734590
83.58941000	0.14222930
83.59143000	0.12757900
83.59344000	0.10804540
83.59546000	0.12269560
83.59747000	0.12269560
83.59949000	0.10316200
83.60150000	0.09339519
83.60352000	0.09827860
83.60555000	0.12757900
83.60755000	0.12269560
83.60957000	0.10804540
83.61159000	0.12757900
83.61360000	0.12757900
83.61562000	0.13734590
83.61764000	0.12757900
83.61965000	0.12269560
83.62167000	0.11292880
83.62369000	0.09827860
83.62569000	0.11292880
83.62772000	0.11781220
83.62974000	0.12757900
83.63174000	0.13246250
83.63377000	0.12269560
83.63578000	0.11292880
83.63779000	0.09339519
83.63982000	0.10804540
83.64183000	0.10804540
83.64384000	0.10316200
83.64586000	0.13734590
83.64788000	0.09827860
83.64989000	0.10804540
83.65191000	0.10316200
83.65393000	0.11292880
83.65594000	0.11292880
83.65796000	0.13246250
83.65997000	0.12269560
83.66199000	0.11781220
83.66401000	0.12757900
83.66602000	0.11781220
83.66804000	0.11781220
83.67005000	0.13246250
83.67207000	0.13246250
83.67408000	0.14222930
83.67610000	0.13734590
83.67812000	0.13734590
83.68013000	0.13246250
83.68215000	0.11781220
83.68416000	0.15687950
83.68618000	0.14711270
83.68820000	0.14222930
83.69021000	0.13734590
83.69223000	0.13734590
83.69424000	0.12757900
83.69626000	0.10804540
83.69827000	0.10804540
83.70029000	0.13734590
83.70231000	0.12757900
83.70432000	0.14711270
83.70634000	0.13734590
83.70835000	0.13246250
83.71037000	0.12269560
83.71239000	0.11781220
83.71440000	0.10804540
83.71642000	0.10316200
83.71844000	0.11781220
83.72045000	0.10804540
83.72247000	0.10316200
83.72449000	0.11781220
83.72650000	0.12757900
83.72852000	0.10316200
83.73054000	0.10804540
83.73254000	0.11781220
83.73457000	0.12269560
83.73658000	0.11781220
83.73859000	0.12269560
83.74062000	0.12757900
83.74262000	0.12269560
83.74464000	0.11781220
83.74666000	0.12269560
83.74867000	0.10804540
83.75069000	0.14222930
83.75271000	0.13734590
83.75472000	0.13734590
83.75674000	0.11292880
83.75876000	0.12757900
83.76077000	0.12757900
83.76279000	0.13734590
83.76481000	0.14711270
83.76682000	0.14711270
83.76884000	0.15687950
83.77085000	0.15199610
83.77287000	0.14222930
83.77489000	0.13734590
83.77690000	0.14222930
83.77892000	0.11292880
83.78093000	0.12757900
83.78295000	0.12757900
83.78497000	0.11781220
83.78698000	0.13246250
83.78900000	0.11781220
83.79101000	0.12269560
83.79303000	0.12269560
83.79504000	0.13246250
83.79706000	0.13246250
83.79908000	0.11781220
83.80109000	0.12757900
83.80311000	0.10316200
83.80512000	0.12757900
83.80714000	0.11292880
83.80916000	0.11292880
83.81117000	0.12269560
83.81319000	0.12757900
83.81520000	0.12757900
83.81722000	0.11292880
83.81923000	0.10316200
83.82125000	0.10804540
83.82327000	0.12757900
83.82528000	0.12269560
83.82730000	0.14222930
83.82932000	0.13734590
83.83133000	0.15199610
83.83335000	0.14222930
83.83537000	0.14711270
83.83738000	0.13246250
83.83939000	0.12757900
83.84142000	0.14222930
83.84342000	0.10804540
83.84544000	0.11781220
83.84747000	0.12269560
83.84947000	0.10316200
83.85149000	0.09339519
83.85351000	0.11781220
83.85552000	0.11292880
83.85754000	0.13246250
83.85956000	0.11292880
83.86157000	0.11781220
83.86359000	0.10804540
83.86561000	0.12269560
83.86761000	0.11781220
83.86964000	0.10316200
83.87166000	0.10804540
83.87366000	0.13734590
83.87569000	0.14711270
83.87770000	0.14222930
83.87971000	0.14711270
83.88173000	0.12269560
83.88375000	0.10804540
83.88577000	0.13734590
83.88778000	0.13246250
83.88980000	0.12269560
83.89181000	0.12757900
83.89383000	0.13246250
83.89584000	0.12757900
83.89786000	0.13246250
83.89988000	0.12757900
83.90189000	0.11292880
83.90391000	0.11292880
83.90592000	0.12757900
83.90794000	0.10804540
83.90996000	0.13246250
83.91197000	0.11781220
83.91399000	0.11292880
83.91600000	0.10316200
83.91802000	0.10316200
83.92004000	0.11292880
83.92205000	0.11292880
83.92407000	0.12757900
83.92608000	0.11292880
83.92810000	0.13734590
83.93011000	0.11781220
83.93213000	0.12269560
83.93415000	0.11292880
83.93616000	0.11292880
83.93818000	0.12269560
83.94019000	0.12757900
83.94221000	0.11292880
83.94423000	0.13246250
83.94624000	0.12757900
83.94827000	0.12269560
83.95027000	0.10316200
83.95229000	0.10316200
83.95431000	0.10316200
83.95632000	0.12269560
83.95834000	0.11292880
83.96036000	0.11292880
83.96237000	0.10804540
83.96439000	0.12269560
83.96641000	0.10804540
83.96842000	0.11781220
83.97044000	0.10804540
83.97246000	0.10804540
83.97446000	0.10804540
83.97649000	0.13246250
83.97849000	0.11292880
83.98051000	0.12757900
83.98254000	0.13734590
83.98454000	0.12269560
83.98656000	0.12757900
83.98858000	0.13246250
83.99059000	0.11292880
83.99261000	0.12269560
83.99463000	0.12269560
83.99664000	0.11781220
83.99866000	0.12757900
84.00068000	0.11292880
84.00269000	0.13734590
84.00471000	0.13734590
84.00673000	0.12757900
84.00874000	0.12757900
84.01076000	0.12269560
84.01277000	0.11292880
84.01479000	0.10316200
84.01681000	0.10316200
84.01882000	0.12269560
84.02084000	0.10804540
84.02285000	0.10804540
84.02487000	0.11781220
84.02688000	0.10804540
84.02890000	0.10804540
84.03092000	0.12269560
84.03293000	0.11781220
84.03495000	0.10316200
84.03696000	0.11292880
84.03898000	0.11781220
84.04100000	0.11781220
84.04301000	0.13734590
84.04503000	0.12269560
84.04704000	0.13734590
84.04906000	0.12757900
84.05107000	0.10804540
84.05309000	0.13734590
84.05511000	0.11292880
84.05712000	0.12269560
84.05914000	0.13246250
84.06115000	0.13246250
84.06317000	0.13734590
84.06519000	0.12269560
84.06720000	0.12757900
84.06922000	0.12757900
84.07124000	0.12269560
84.07325000	0.10804540
84.07526000	0.13734590
84.07729000	0.12269560
84.07930000	0.12269560
84.08131000	0.11781220
84.08334000	0.11781220
84.08534000	0.12269560
84.08736000	0.12269560
84.08939000	0.13734590
84.09139000	0.15199610
84.09341000	0.13734590
84.09543000	0.13734590
84.09744000	0.13734590
84.09946000	0.16176290
84.10148000	0.14222930
84.10349000	0.12269560
84.10551000	0.13734590
84.10753000	0.14711270
84.10954000	0.13246250
84.11156000	0.13246250
84.11358000	0.12269560
84.11559000	0.12269560
84.11761000	0.14222930
84.11962000	0.13734590
84.12164000	0.13246250
84.12365000	0.14222930
84.12567000	0.11292880
84.12769000	0.13246250
84.12970000	0.13246250
84.13171000	0.14222930
84.13373000	0.12269560
84.13575000	0.13246250
84.13776000	0.10804540
84.13978000	0.10316200
84.14180000	0.09827860
84.14381000	0.12757900
84.14583000	0.09827860
84.14784000	0.10316200
84.14986000	0.09827860
84.15188000	0.10316200
84.15389000	0.12269560
84.15591000	0.12757900
84.15792000	0.10804540
84.15994000	0.09827860
84.16196000	0.11781220
84.16397000	0.10316200
84.16599000	0.12757900
84.16800000	0.11292880
84.17002000	0.12269560
84.17204000	0.10804540
84.17405000	0.13246250
84.17607000	0.10316200
84.17809000	0.12757900
84.18010000	0.12757900
84.18211000	0.11781220
84.18414000	0.11292880
84.18615000	0.12269560
84.18816000	0.11292880
84.19019000	0.12269560
84.19219000	0.13246250
84.19421000	0.12269560
84.19623000	0.13246250
84.19824000	0.11292880
84.20026000	0.12269560
84.20228000	0.12757900
84.20429000	0.11292880
84.20631000	0.13734590
84.20833000	0.11781220
84.21034000	0.13246250
84.21236000	0.11292880
84.21437000	0.12269560
84.21638000	0.13246250
84.21841000	0.12269560
84.22041000	0.10804540
84.22243000	0.12269560
84.22446000	0.12757900
84.22646000	0.09827860
84.22849000	0.11292880
84.23050000	0.13246250
84.23251000	0.11781220
84.23454000	0.11292880
84.23655000	0.12757900
84.23856000	0.12757900
84.24058000	0.11292880
84.24260000	0.12269560
84.24461000	0.08851178
84.24663000	0.10804540
84.24865000	0.10804540
84.25066000	0.12757900
84.25268000	0.10804540
84.25469000	0.13246250
84.25671000	0.12269560
84.25873000	0.13246250
84.26074000	0.14222930
84.26276000	0.12757900
84.26477000	0.12269560
84.26679000	0.12269560
84.26880000	0.12269560
84.27082000	0.13246250
84.27284000	0.11292880
84.27485000	0.10804540
84.27687000	0.11292880
84.27888000	0.12269560
84.28090000	0.12269560
84.28292000	0.12269560
84.28493000	0.12757900
84.28695000	0.11781220
84.28896000	0.12757900
84.29099000	0.12757900
84.29299000	0.12757900
84.29501000	0.12269560
84.29703000	0.13246250
84.29904000	0.11292880
84.30106000	0.11781220
84.30307000	0.11781220
84.30509000	0.11292880
84.30711000	0.12757900
84.30912000	0.11781220
84.31114000	0.12269560
84.31316000	0.11781220
84.31517000	0.10804540
84.31718000	0.12269560
84.31921000	0.11781220
84.32122000	0.12757900
84.32323000	0.12269560
84.32526000	0.12269560
84.32726000	0.10804540
84.32928000	0.11781220
84.33130000	0.12269560
84.33331000	0.10804540
84.33533000	0.11781220
84.33735000	0.12269560
84.33936000	0.12757900
84.34138000	0.12269560
84.34340000	0.11781220
84.34541000	0.13246250
84.34743000	0.10316200
84.34945000	0.12269560
84.35146000	0.10316200
84.35348000	0.09827860
84.35549000	0.13246250
84.35751000	0.12757900
84.35953000	0.13246250
84.36154000	0.16176290
84.36356000	0.15199610
84.36557000	0.12757900
84.36759000	0.13734590
84.36961000	0.13246250
84.37162000	0.12269560
84.37363000	0.13734590
84.37565000	0.12269560
84.37767000	0.13246250
84.37968000	0.12757900
84.38170000	0.10804540
84.38372000	0.11781220
84.38573000	0.10316200
84.38775000	0.09827860
84.38976000	0.10316200
84.39178000	0.11781220
84.39380000	0.11292880
84.39581000	0.11781220
84.39783000	0.09339519
84.39984000	0.09827860
84.40186000	0.11781220
84.40387000	0.11292880
84.40589000	0.12269560
84.40791000	0.09339519
84.40992000	0.09339519
84.41194000	0.08362837
84.41396000	0.09827860
84.41597000	0.10804540
84.41799000	0.11292880
84.42001000	0.10316200
84.42202000	0.10316200
84.42403000	0.09827860
84.42606000	0.13246250
84.42806000	0.11292880
84.43008000	0.12757900
84.43211000	0.09827860
84.43411000	0.10804540
84.43613000	0.13734590
84.43815000	0.12269560
84.44016000	0.10804540
84.44218000	0.10804540
84.44420000	0.11781220
84.44621000	0.09339519
84.44823000	0.08362837
84.45024000	0.08362837
84.45226000	0.08362837
84.45428000	0.08851178
84.45629000	0.08851178
84.45831000	0.09827860
84.46033000	0.07874496
84.46233000	0.09827860
84.46436000	0.10316200
84.46638000	0.09339519
84.46838000	0.09827860
84.47041000	0.11781220
84.47242000	0.10316200
84.47443000	0.10804540
84.47645000	0.10804540
84.47847000	0.09827860
84.48048000	0.10316200
84.48250000	0.09827860
84.48452000	0.12269560
84.48653000	0.10804540
84.48855000	0.08362837
84.49057000	0.09827860
84.49258000	0.09339519
84.49460000	0.10316200
84.49661000	0.10804540
84.49863000	0.08851178
84.50064000	0.10804540
84.50266000	0.12269560
84.50468000	0.12757900
84.50669000	0.10316200
84.50871000	0.10316200
84.51072000	0.11292880
84.51274000	0.11292880
84.51476000	0.11292880
84.51677000	0.12269560
84.51879000	0.11292880
84.52081000	0.13246250
84.52282000	0.12757900
84.52483000	0.12269560
84.52686000	0.09339519
84.52887000	0.11781220
84.53088000	0.12269560
84.53290000	0.12269560
84.53491000	0.12269560
84.53693000	0.13246250
84.53895000	0.11292880
84.54096000	0.12269560
84.54298000	0.12269560
84.54499000	0.12269560
84.54701000	0.14222930
84.54903000	0.13246250
84.55104000	0.13734590
84.55306000	0.12757900
84.55508000	0.13246250
84.55709000	0.10804540
84.55910000	0.11292880
84.56113000	0.13734590
84.56314000	0.13734590
84.56516000	0.13734590
84.56718000	0.12757900
84.56918000	0.12269560
