Time	Channel A
(ms)	(V)

-4.81331200	0.12208520
-4.81280000	0.12208520
-4.81228800	0.11231840
-4.81177600	0.10743500
-4.81126400	0.10255160
-4.81075200	0.10743500
-4.81024000	0.11231840
-4.80972800	0.11720180
-4.80921600	0.12208520
-4.80870400	0.11231840
-4.80819200	0.12696860
-4.80768000	0.11720180
-4.80716800	0.12696860
-4.80665600	0.12208520
-4.80614400	0.10743500
-4.80563200	0.11231840
-4.80512000	0.09766817
-4.80460800	0.10255160
-4.80409600	0.12696860
-4.80358400	0.11720180
-4.80307200	0.10255160
-4.80256000	0.09766817
-4.80204800	0.12208520
-4.80153600	0.12208520
-4.80102400	0.10743500
-4.80051200	0.12208520
-4.80000000	0.12208520
-4.79948800	0.11231840
-4.79897600	0.12696860
-4.79846400	0.11231840
-4.79795200	0.12208520
-4.79744000	0.12696860
-4.79692800	0.13185200
-4.79641600	0.12696860
-4.79590400	0.13185200
-4.79539200	0.12696860
-4.79488000	0.12208520
-4.79436800	0.12696860
-4.79385600	0.11720180
-4.79334400	0.13185200
-4.79283200	0.13673540
-4.79232000	0.11720180
-4.79180800	0.11231840
-4.79129600	0.12208520
-4.79078400	0.13185200
-4.79027200	0.13673540
-4.78976000	0.09278476
-4.78924800	0.12696860
-4.78873600	0.11720180
-4.78822400	0.10743500
-4.78771200	0.11231840
-4.78720000	0.10255160
-4.78668800	0.12208520
-4.78617600	0.12208520
-4.78566400	0.11231840
-4.78515200	0.12208520
-4.78464000	0.12208520
-4.78412800	0.10255160
-4.78361600	0.10743500
-4.78310400	0.08790135
-4.78259200	0.11231840
-4.78208000	0.09766817
-4.78156800	0.09766817
-4.78105600	0.11231840
-4.78054400	0.12208520
-4.78003200	0.12208520
-4.77952000	0.12208520
-4.77900800	0.12696860
-4.77849600	0.11720180
-4.77798400	0.10255160
-4.77747200	0.13673540
-4.77696000	0.13185200
-4.77644800	0.11231840
-4.77593600	0.10743500
-4.77542400	0.10255160
-4.77491200	0.10255160
-4.77440000	0.09766817
-4.77388800	0.10255160
-4.77337600	0.09278476
-4.77286400	0.11720180
-4.77235200	0.11231840
-4.77184000	0.11231840
-4.77132800	0.11231840
-4.77081600	0.10743500
-4.77030400	0.12696860
-4.76979200	0.12208520
-4.76928000	0.09278476
-4.76876800	0.09766817
-4.76825600	0.07813454
-4.76774400	0.10743500
-4.76723200	0.11231840
-4.76672000	0.11720180
-4.76620800	0.12208520
-4.76569600	0.09278476
-4.76518400	0.11720180
-4.76467200	0.10743500
-4.76416000	0.11231840
-4.76364800	0.13185200
-4.76313600	0.10743500
-4.76262400	0.09766817
-4.76211200	0.11231840
-4.76160000	0.09766817
-4.76108800	0.10743500
-4.76057600	0.10255160
-4.76006400	0.11720180
-4.75955200	0.11720180
-4.75904000	0.11231840
-4.75852800	0.10743500
-4.75801600	0.11231840
-4.75750400	0.09766817
-4.75699200	0.11720180
-4.75648000	0.10255160
-4.75596800	0.11720180
-4.75545600	0.10255160
-4.75494400	0.10743500
-4.75443200	0.10743500
-4.75392000	0.08790135
-4.75340800	0.10255160
-4.75289600	0.10255160
-4.75238400	0.09766817
-4.75187200	0.12208520
-4.75136000	0.10255160
-4.75084800	0.11231840
-4.75033600	0.09278476
-4.74982400	0.11231840
-4.74931200	0.10743500
-4.74880000	0.09766817
-4.74828800	0.09766817
-4.74777600	0.10255160
-4.74726400	0.09766817
-4.74675200	0.10743500
-4.74624000	0.08790135
-4.74572800	0.07813454
-4.74521600	0.10743500
-4.74470400	0.12208520
-4.74419200	0.10743500
-4.74368000	0.08301795
-4.74316800	0.11231840
-4.74265600	0.10255160
-4.74214400	0.10743500
-4.74163200	0.12208520
-4.74112000	0.10255160
-4.74060800	0.11720180
-4.74009600	0.10743500
-4.73958400	0.10255160
-4.73907200	0.11231840
-4.73856000	0.11720180
-4.73804800	0.09278476
-4.73753600	0.09766817
-4.73702400	0.09278476
-4.73651200	0.10255160
-4.73600000	0.09766817
-4.73548800	0.11720180
-4.73497600	0.10743500
-4.73446400	0.10255160
-4.73395200	0.10255160
-4.73344000	0.08301795
-4.73292800	0.10743500
-4.73241600	0.11720180
-4.73190400	0.11231840
-4.73139200	0.10743500
-4.73088000	0.12696860
-4.73036800	0.11720180
-4.72985600	0.11720180
-4.72934400	0.12208520
-4.72883200	0.12696860
-4.72832000	0.11231840
-4.72780800	0.12208520
-4.72729600	0.12208520
-4.72678400	0.12696860
-4.72627200	0.13185200
-4.72576000	0.11720180
-4.72524800	0.11720180
-4.72473600	0.11231840
-4.72422400	0.12208520
-4.72371200	0.11231840
-4.72320000	0.11720180
-4.72268800	0.11231840
-4.72217600	0.11720180
-4.72166400	0.10743500
-4.72115200	0.10255160
-4.72064000	0.10743500
-4.72012800	0.09766817
-4.71961600	0.12208520
-4.71910400	0.10743500
-4.71859200	0.10743500
-4.71808000	0.11231840
-4.71756800	0.11231840
-4.71705600	0.13185200
-4.71654400	0.12208520
-4.71603200	0.08790135
-4.71552000	0.10743500
-4.71500800	0.08790135
-4.71449600	0.12696860
-4.71398400	0.10743500
-4.71347200	0.10255160
-4.71296000	0.09278476
-4.71244800	0.10743500
-4.71193600	0.10743500
-4.71142400	0.10743500
-4.71091200	0.08790135
-4.71040000	0.07813454
-4.70988800	0.08301795
-4.70937600	0.10255160
-4.70886400	0.10255160
-4.70835200	0.10743500
-4.70784000	0.09278476
-4.70732800	0.11231840
-4.70681600	0.12208520
-4.70630400	0.08790135
-4.70579200	0.09766817
-4.70528000	0.10743500
-4.70476800	0.10255160
-4.70425600	0.10255160
-4.70374400	0.10743500
-4.70323200	0.11231840
-4.70272000	0.11720180
-4.70220800	0.09766817
-4.70169600	0.09278476
-4.70118400	0.10255160
-4.70067200	0.10743500
-4.70016000	0.10255160
-4.69964800	0.10743500
-4.69913600	0.10743500
-4.69862400	0.11231840
-4.69811200	0.11231840
-4.69760000	0.12696860
-4.69708800	0.11720180
-4.69657600	0.11720180
-4.69606400	0.09766817
-4.69555200	0.09766817
-4.69504000	0.13185200
-4.69452800	0.10255160
-4.69401600	0.13673540
-4.69350400	0.12208520
-4.69299200	0.11231840
-4.69248000	0.12208520
-4.69196800	0.12208520
-4.69145600	0.14161880
-4.69094400	0.11720180
-4.69043200	0.13673540
-4.68992000	0.13185200
-4.68940800	0.15138570
-4.68889600	0.14161880
-4.68838400	0.12696860
-4.68787200	0.12208520
-4.68736000	0.11720180
-4.68684800	0.12208520
-4.68633600	0.12696860
-4.68582400	0.12208520
-4.68531200	0.10255160
-4.68480000	0.12208520
-4.68428800	0.11720180
-4.68377600	0.12208520
-4.68326400	0.11231840
-4.68275200	0.11231840
-4.68224000	0.12208520
-4.68172800	0.11720180
-4.68121600	0.13185200
-4.68070400	0.12696860
-4.68019200	0.10743500
-4.67968000	0.13185200
-4.67916800	0.12696860
-4.67865600	0.12208520
-4.67814400	0.12208520
-4.67763200	0.12696860
-4.67712000	0.10743500
-4.67660800	0.11720180
-4.67609600	0.10743500
-4.67558400	0.11720180
-4.67507200	0.11231840
-4.67456000	0.11720180
-4.67404800	0.10743500
-4.67353600	0.11231840
-4.67302400	0.12208520
-4.67251200	0.10743500
-4.67200000	0.09278476
-4.67148800	0.11231840
-4.67097600	0.11231840
-4.67046400	0.11231840
-4.66995200	0.10743500
-4.66944000	0.11720180
-4.66892800	0.11231840
-4.66841600	0.10743500
-4.66790400	0.13185200
-4.66739200	0.10255160
-4.66688000	0.12696860
-4.66636800	0.09766817
-4.66585600	0.12696860
-4.66534400	0.12208520
-4.66483200	0.12696860
-4.66432000	0.12696860
-4.66380800	0.12696860
-4.66329600	0.12208520
-4.66278400	0.12208520
-4.66227200	0.13185200
-4.66176000	0.11720180
-4.66124800	0.12208520
-4.66073600	0.09766817
-4.66022400	0.10743500
-4.65971200	0.10255160
-4.65920000	0.10255160
-4.65868800	0.12696860
-4.65817600	0.12208520
-4.65766400	0.11231840
-4.65715200	0.11231840
-4.65664000	0.12696860
-4.65612800	0.12208520
-4.65561600	0.10743500
-4.65510400	0.11720180
-4.65459200	0.11720180
-4.65408000	0.11231840
-4.65356800	0.12208520
-4.65305600	0.12208520
